,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
7739,39.0,0.713,0.683,5.0,-6.565,0,0.431,0.0188,,0.105,0.665,144.074,141560.0,4,9
9087,76.0,0.856,0.427,2.0,-13.297,1,0.365,0.0958,,0.1,0.774,144.118,240000.0,4,5
200,38.0,0.65,0.63,11.0,-6.787,0,0.04,0.278,8.55e-05,0.119,0.74,107.69,218747.0,4,2
5050,72.0,0.649,0.888,6.0,-4.807,1,0.0293,0.013,2.23e-06,0.0888,0.553,100.975,208467.0,4,10
2112,41.0,0.495,0.553,6.0,-6.859,1,0.0397,0.0816,,0.424,0.377,138.999,270160.0,4,10
7899,28.0,0.466,0.965,1.0,-3.29,1,0.211,0.00112,0.0565,0.247,0.0591,99.971,320400.0,4,8
4352,,0.796,0.825,10.0,-10.017,0,0.0807,0.00316,0.902,0.109,0.887,128.003,401100.0,4,6
9541,13.0,0.487,0.951,11.0,-3.85,0,0.0381,1.42e-05,0.562,0.136,0.654,146.609,192451.0,4,9
3704,67.0,0.238,0.967,4.0,-2.602,0,0.136,0.000213,1.18e-06,0.26,0.58,170.128,252003.0,4,8
975,51.0,0.81,0.425,6.0,-14.68,0,0.0686,0.638,0.802,0.104,0.542,104.953,196008.0,4,1
13175,8.0,0.546,0.881,7.0,-5.045,1,0.0328,0.000181,0.000802,0.0962,0.421,99.998,294000.0,4,10
17912,,0.385,0.983,4.0,-4.052,0,0.106,9.8e-05,1.01e-05,0.291,0.354,156.987,162803.0,4,10
17983,46.0,0.579,0.746,4.0,-4.912,1,0.0335,0.207,0.000149,0.242,0.439,103.018,254240.0,4,6
5097,39.0,0.802,0.455,5.0,-11.673,1,0.0537,0.803,0.585,0.0607,0.932,122.853,173600.0,4,2
15066,82.0,0.443,0.459,,-8.955,1,0.074,0.546,1.05e-06,0.307,0.565,87.064,198371.0,5,9
5649,35.0,0.317,0.4,7.0,-8.958,0,0.0415,0.693,,0.116,0.394,180.352,234613.0,3,9
13739,32.0,0.413,0.862,8.0,-4.118,1,0.0362,7.5e-06,0.145,0.0932,0.547,91.017,187827.0,4,6
16614,54.0,0.537,0.132,3.0,-18.58,1,0.0363,0.96,0.864,0.144,0.119,119.394,3.38915,3,7
4619,1.0,0.585,0.493,2.0,-15.246,1,0.543,0.89,2.23e-05,0.0952,0.96,85.416,0.50165,3,3
4704,59.0,0.843,0.762,9.0,-7.915,0,0.449,0.143,,0.35,0.542,144.856,158955.0,3,5
1275,77.0,0.68,0.895,2.0,-7.144,1,0.0378,0.0156,0.000374,0.145,0.824,93.037,189375.0,4,9
13465,52.0,0.802,0.183,8.0,-17.1,1,0.403,0.809,,0.109,0.664,91.078,183338.0,4,9
